GSE63577_BJ_transcripts,GSE63577_IMR90_transcripts,voic_epithelia_sen_transcripts,GSE63577_HFF_transcripts,GSE105951_PD78_transcripts,GSE130727_IMR90_transcripts,GSE130727_WI38_transcripts,GSE64553_MRC5_transcripts,GSE109700_early_sen_transcripts,GSE109700_deep_sen_transcripts,GSE64553_HFF_transcripts,GSE63577_MRC5_transcripts,GSE63577_WI38_transcripts
ENST00000375615 - LAYN,,,ENST00000443913 - CTSK,ENST00000478034 - P4HB,,ENST00000429089 - PLAT,ENST00000525469 - CD44,ENST00000309539 - OLR1,ENST00000491536 - PLOD1,ENST00000525061 - SULF1,ENST00000523927 - ASPH,ENST00000500085 - FAT1
ENST00000407568 - PSG5,,,ENST00000376806 - HLA-A,ENST00000431454 - BIRC6,,ENST00000522633 - IL6ST,ENST00000567109 - CDH13,ENST00000260356 - THBS1,ENST00000554744 - SEL1L,ENST00000345356 - COL12A1,ENST00000529974 - CTSC,ENST00000566497 - MFGE8
ENST00000397591 - THBS1,,,ENST00000332966 - SLIT3,ENST00000425660 - ACTB,,ENST00000627900 - PTPRK,ENST00000510710 - COL1A1,ENST00000477536 - HEG1,ENST00000524261 - PLAT,ENST00000477278 - MXRA8,ENST00000494507 - DPP4,ENST00000522293 - MGAT4B
ENST00000439918 - P4HB,,,ENST00000397591 - THBS1,ENST00000492544 - KIAA0319L,,ENST00000368205 - PTPRK,ENST00000332843 - COLEC10,ENST00000328306 - SLC9A7,ENST00000397591 - THBS1,ENST00000521946 - SULF1,ENST00000473258 - COL6A3,ENST00000525528 - BDNF
ENST00000271651 - CTSK,,,ENST00000510710 - COL1A1,ENST00000523927 - ASPH,,ENST00000550826 - ZNF844,ENST00000353578 - COL6A3,ENST00000486632 - SLC2A5,ENST00000503810 - ITGA2,ENST00000490769 - PSG4,ENST00000310594 - WNT5B,ENST00000617139 - NID2
ENST00000617924 - THBS2,,,ENST00000460393 - MME,ENST00000553290 - ACTN1,,ENST00000424339 - EPHA4,ENST00000415140 - LTBP1,ENST00000478217 - F3,ENST00000486004 - DCBLD2,ENST00000508067 - LOX,ENST00000456012 - HLA-A,ENST00000263398 - CD44
ENST00000200652 - SLC22A4,,,ENST00000476718 - MXRA8,ENST00000485177 - PXDN,,ENST00000351898 - SLC4A4,ENST00000560808 - NEO1,ENST00000423218 - ITGA11,ENST00000351898 - SLC4A4,ENST00000477269 - F10,ENST00000352818 - CD44,ENST00000528295 - THY1
ENST00000477278 - MXRA8,,,ENST00000528295 - THY1,ENST00000409349 - ANTXR1,,ENST00000610929 - PSAP,ENST00000636571 - CTSD,ENST00000523007 - LRP12,ENST00000480704 - PLOD2,ENST00000311330 - CD248,ENST00000547300 - TRHDE,ENST00000541779 - LPAR1
ENST00000231004 - LOX,,,ENST00000530866 - LTBP3,ENST00000447386 - FAP,,ENST00000370408 - ERLIN1,ENST00000372764 - PLAU,ENST00000356005 - FN1,ENST00000265074 - NPR3,ENST00000397747 - PDCD1LG2,ENST00000515017 - ANXA5,ENST00000545560 - ITGBL1
ENST00000528295 - THY1,,,ENST00000548071 - LUM,ENST00000581826 - CPD,,ENST00000480949 - PCYOX1,ENST00000462163 - RPN2,ENST00000464933 - SLC9A7,ENST00000521195 - FZD6,ENST00000616559 - PTPRQ,ENST00000455111 - GPC1,ENST00000480278 - CEACAM19
ENST00000458141 - SULF1,,,ENST00000532873 - DKK3,ENST00000492734 - CACNA2D1,,ENST00000527889 - CD44,ENST00000421349 - HLA-B,ENST00000621659 - ABCC1,ENST00000309539 - OLR1,ENST00000548071 - LUM,ENST00000407925 - LTBP1,ENST00000397411 - TSPAN4
ENST00000377499 - LMO7,,,ENST00000504456 - PAM,ENST00000397886 - PTTG1IP,,ENST00000332843 - COLEC10,ENST00000515017 - ANXA5,ENST00000369750 - TPBG,ENST00000447485 - ATP6AP2,ENST00000352931 - PTK7,ENST00000378076 - ITGA8,ENST00000518867 - MGAT4B
ENST00000367963 - MOXD1,,,ENST00000376228 - HLA-C,ENST00000478217 - F3,,ENST00000472714 - LAMB1,ENST00000472056 - COL6A3,ENST00000635036 - TPBG,ENST00000440126 - APP,ENST00000476718 - MXRA8,ENST00000404377 - TNFSF18,ENST00000510208 - PAM
ENST00000310594 - WNT5B,,,ENST00000409829 - ANTXR1,ENST00000281834 - TNFSF4,,ENST00000465851 - SLC39A10,ENST00000513336 - HEXB,ENST00000617924 - THBS2,ENST00000608657 - ITGB5,ENST00000502363 - PKD2,ENST00000518306 - ASPH,ENST00000517903 - ASPH
ENST00000260356 - THBS1,,,ENST00000461431 - CCDC80,ENST00000415241 - FLNA,,ENST00000489941 - LMO7,ENST00000544301 - VIM,ENST00000537463 - FBN1,ENST00000362032 - SUCNR1,ENST00000529974 - CTSC,ENST00000315757 - ITGA11,ENST00000542878 - MFGE8
ENST00000353578 - COL6A3,,,ENST00000515017 - ANXA5,ENST00000549922 - TRHDE,,ENST00000551182 - ATP5F1B,ENST00000558985 - ANXA2,ENST00000263339 - IL1A,ENST00000407925 - LTBP1,ENST00000397591 - THBS1,ENST00000492719 - GAPDH,ENST00000560937 - MFGE8
ENST00000315782 - CPZ,,,ENST00000263665 - CNTN3,ENST00000540837 - M6PR,,ENST00000379845 - SFRP1,ENST00000311330 - CD248,ENST00000480704 - PLOD2,ENST00000379904 - ERAP2,ENST00000510208 - PAM,ENST00000560937 - MFGE8,ENST00000512772 - FAT1
ENST00000416726 - HLA-B,,,ENST00000450684 - AEBP1,ENST00000370207 - F3,,ENST00000486266 - HLA-C,ENST00000542878 - MFGE8,ENST00000554158 - ACTN1,ENST00000520052 - ANGPT1,ENST00000370055 - L1CAM,ENST00000550728 - HLA-A,ENST00000446342 - PLAU
ENST00000546642 - LUM,,,ENST00000617924 - THBS2,ENST00000509814 - ITGA2,,ENST00000614327 - HSP90B1,ENST00000455111 - GPC1,ENST00000618395 - COL5A1,ENST00000328306 - SLC9A7,ENST00000544301 - VIM,ENST00000424424 - PRNP,
ENST00000484734 - THBS1,,,ENST00000484734 - THBS1,ENST00000480581 - CAPN2,,ENST00000534412 - PICALM,ENST00000550728 - HLA-A,ENST00000475889 - PKD1,ENST00000367921 - DDR2,ENST00000533265 - LAYN,ENST00000443059 - QSOX1,
ENST00000548898 - CD63,,,ENST00000510208 - PAM,ENST00000415997 - APP,,ENST00000513539 - HEXB,ENST00000495528 - VIM,ENST00000539518 - OLR1,ENST00000469554 - CCDC80,ENST00000476387 - COL1A1,ENST00000528295 - THY1,
ENST00000471344 - COL1A1,,,ENST00000436913 - LAYN,ENST00000259056 - GALNT5,,ENST00000297350 - TNFRSF11B,ENST00000527577 - CD59,ENST00000574721 - ADCY9,ENST00000266581 - AMIGO2,ENST00000448611 - LMNA,ENST00000510208 - PAM,
ENST00000509016 - ANXA5,,,ENST00000613132 - IGFBP3,ENST00000571507 - P4HB,,ENST00000559494 - TSPAN3,ENST00000344876 - PCDH18,ENST00000519678 - ASPH,ENST00000632478 - GREM1,ENST00000497720 - THBS1,ENST00000374786 - NTM,
ENST00000360490 - MME,,,ENST00000616738 - LEPR,ENST00000508067 - LOX,,ENST00000532339 - CD44,ENST00000555616 - ACTN1,ENST00000220809 - PLAT,ENST00000560830 - GREM1,ENST00000612334 - CERCAM,ENST00000612334 - CERCAM,
ENST00000593948 - PSG9,,,ENST00000458447 - APOD,ENST00000525469 - CD44,,ENST00000502498 - CANX,ENST00000441240 - LPAR1,ENST00000436783 - ATP6AP2,ENST00000369750 - TPBG,ENST00000597912 - PSG4,ENST00000530866 - LTBP3,
ENST00000502363 - PKD2,,,ENST00000490776 - FKBP9,ENST00000480356 - F3,,ENST00000513336 - HEXB,ENST00000457660 - SLC3A2,ENST00000475181 - CCDC80,ENST00000635036 - TPBG,ENST00000550645 - RPL18,ENST00000519479 - PCDHGB4,
ENST00000483888 - COL12A1,,,ENST00000477278 - MXRA8,ENST00000552754 - CD63,,ENST00000263398 - CD44,ENST00000636997 - ASAH1,ENST00000554744 - SEL1L,ENST00000488053 - TNFSF4,ENST00000474033 - MXRA8,ENST00000617380 - PCDHGB5,
ENST00000612334 - CERCAM,,,ENST00000480456 - JAM2,ENST00000460886 - COL6A2,,ENST00000638046 - ATP6AP2,ENST00000315757 - ITGA11,ENST00000487661 - HEG1,ENST00000413303 - LTBP1,ENST00000509016 - ANXA5,ENST00000397411 - TSPAN4,
ENST00000494507 - DPP4,,,ENST00000612334 - CERCAM,ENST00000525209 - CD44,,ENST00000460797 - ITGB5,ENST00000534549 - JAM3,ENST00000479499 - LAMC1,ENST00000467255 - NTM,ENST00000419716 - SULF1,ENST00000621169 - PCDHGB5,
ENST00000436072 - SFRP4,,,ENST00000340687 - SERPING1,ENST00000519468 - ASAH1,,ENST00000578916 - PTPRM,ENST00000638046 - ATP6AP2,ENST00000477845 - FBLN2,ENST00000567934 - CDH11,ENST00000260356 - THBS1,ENST00000523108 - MGAT4B,
ENST00000566497 - MFGE8,,,ENST00000556356 - LRP1,ENST00000525162 - PICALM,,ENST00000586056 - SLC14A1,ENST00000469097 - HM13,ENST00000428068 - ADGRA2,ENST00000490247 - THBS1,ENST00000375615 - LAYN,ENST00000474267 - WNT5A,
,,,ENST00000531133 - SERPING1,ENST00000495928 - MYH9,,ENST00000381294 - IL6ST,ENST00000418533 - LTBP1,ENST00000300177 - GREM1,ENST00000264205 - ECE1,ENST00000600572 - PSG4,ENST00000637387 - CTSD,
,,,ENST00000426348 - TNXB,ENST00000586760 - CALR,,ENST00000619364 - NOMO3,ENST00000333552 - RALY,ENST00000428848 - CDH13,ENST00000523950 - VEGFA,ENST00000528295 - THY1,ENST00000477278 - MXRA8,
,,,ENST00000335110 - FAT4,ENST00000475584 - IGF2R,,ENST00000547250 - ATP5F1B,ENST00000518867 - MGAT4B,ENST00000496081 - HLA-A,ENST00000259056 - GALNT5,ENST00000546642 - LUM,ENST00000545094 - CADM1,
,,,ENST00000559746 - THBS1,ENST00000425992 - VDAC1,,ENST00000518306 - ASPH,ENST00000541434 - CADM1,ENST00000413303 - LTBP1,ENST00000558745 - TSPAN3,ENST00000597529 - EMP3,ENST00000461431 - CCDC80,
,,,ENST00000477269 - F10,ENST00000532331 - PTPRK,,ENST00000472294 - HLA-B,ENST00000586142 - SLC14A1,ENST00000486085 - RTN4,ENST00000509647 - FAT1,ENST00000613052 - CERCAM,ENST00000368215 - PTPRK,
,,,ENST00000618395 - COL5A1,ENST00000619256 - PTPRK,,ENST00000528086 - CD44,ENST00000352931 - PTK7,ENST00000376162 - ITGBL1,ENST00000426059 - FN1,ENST00000469554 - CCDC80,ENST00000628183 - PTPRK,
,,,ENST00000464916 - COL1A2,ENST00000514032 - CANX,,ENST00000503856 - PDGFRA,ENST00000374786 - NTM,ENST00000406449 - PVR,ENST00000367351 - ULBP2,ENST00000293709 - ATF6B,ENST00000504248 - MAN2B2,
,,,ENST00000504691 - PAM,ENST00000618828 - COL5A2,,ENST00000560164 - SLC12A6,ENST00000588454 - CALR,ENST00000490247 - THBS1,ENST00000296129 - CDCP1,ENST00000525981 - RPL27A,,
,,,ENST00000509016 - ANXA5,ENST00000493406 - WNT5A,,ENST00000612161 - SLC38A1,ENST00000268613 - CDH13,ENST00000367351 - ULBP2,ENST00000618395 - COL5A1,ENST00000295550 - COL6A3,,
,,,ENST00000419716 - SULF1,ENST00000508639 - SIL1,,ENST00000513452 - CLDND1,ENST00000478064 - LAMC1,ENST00000506367 - PKD2,ENST00000617924 - THBS2,ENST00000470019 - PTK7,,
,,,ENST00000451159 - TNXB,ENST00000523593 - ASAH1,,ENST00000547517 - RAB5C,ENST00000545094 - CADM1,ENST00000550413 - AMIGO2,ENST00000537320 - TNC,ENST00000369236 - GFRA1,,
,,,ENST00000252085 - PCDHGA12,ENST00000559746 - THBS1,,ENST00000618828 - COL5A2,ENST00000433655 - CTSD,ENST00000381086 - IGFBP3,ENST00000418533 - LTBP1,ENST00000595404 - PSG9,,
,,,ENST00000397747 - PDCD1LG2,ENST00000231004 - LOX,,ENST00000455727 - LDLR,ENST00000409829 - ANTXR1,ENST00000632478 - GREM1,ENST00000369700 - PRSS35,ENST00000464916 - COL1A2,,
,,,ENST00000382872 - NLGN4Y,ENST00000494950 - PLOD2,,ENST00000474628 - P4HA2,ENST00000519468 - ASAH1,ENST00000560830 - GREM1,ENST00000436783 - ATP6AP2,ENST00000519678 - ASPH,,
,,,ENST00000613052 - CERCAM,ENST00000464310 - P4HA1,,ENST00000376162 - ITGBL1,,ENST00000529134 - SULF1,ENST00000469005 - FSTL1,ENST00000360814 - GLT8D2,,
,,,ENST00000489707 - PTK7,ENST00000636494 - ASAH1,,ENST00000511081 - CLDND1,,ENST00000545560 - ITGBL1,ENST00000508588 - PKD2,ENST00000532873 - DKK3,,
,,,ENST00000524970 - THY1,ENST00000493320 - MICA,,ENST00000524835 - TM9SF1,,ENST00000480356 - F3,ENST00000517746 - ANGPT1,ENST00000381086 - IGFBP3,,
,,,ENST00000458141 - SULF1,ENST00000560466 - ANXA2,,ENST00000326857 - DCBLD2,,ENST00000484734 - THBS1,ENST00000482116 - LMO7,ENST00000407929 - SLC8A1,,
,,,ENST00000352931 - PTK7,ENST00000464116 - XRCC6,,ENST00000321925 - SLC14A1,,ENST00000469005 - FSTL1,ENST00000314915 - BDNF,ENST00000472007 - FKBP9,,
,,,ENST00000369802 - CSF1,ENST00000354192 - APP,,ENST00000474380 - LAMB1,,ENST00000376839 - ACTN1,ENST00000231004 - LOX,ENST00000475181 - CCDC80,,
,,,ENST00000407568 - PSG5,ENST00000593513 - AXL,,ENST00000530694 - DKK3,,ENST00000520770 - LRP12,ENST00000478217 - F3,,,
,,,ENST00000487661 - HEG1,ENST00000521327 - SPARC,,ENST00000436783 - ATP6AP2,,ENST00000608657 - ITGB5,ENST00000465642 - IGFBP3,,,
,,,,ENST00000260356 - THBS1,,ENST00000360534 - DPP4,,ENST00000579475 - NOTCH2,ENST00000523007 - LRP12,,,
,,,,ENST00000634795 - CD99L2,,ENST00000563432 - GLG1,,ENST00000264205 - ECE1,ENST00000496703 - ITGB5,,,
,,,,ENST00000397747 - PDCD1LG2,,ENST00000373417 - ANGPTL2,,ENST00000432738 - SERPINE2,ENST00000593513 - AXL,,,
,,,,ENST00000447066 - GLG1,,ENST00000422669 - LTBP1,,ENST00000455111 - GPC1,ENST00000550413 - AMIGO2,,,
,,,,ENST00000438929 - BDNF,,,,ENST00000374791 - NTM,ENST00000326857 - DCBLD2,,,
,,,,ENST00000426059 - FN1,,,,ENST00000584049 - BDNF,ENST00000405269 - SLC8A1,,,
,,,,ENST00000379845 - SFRP1,,,,ENST00000469554 - CCDC80,ENST00000476482 - P4HB,,,
,,,,ENST00000521499 - ASPH,,,,ENST00000534412 - PICALM,ENST00000485987 - LMO7,,,
,,,,ENST00000439193 - EFEMP1,,,,ENST00000532873 - DKK3,ENST00000464933 - SLC9A7,,,
,,,,ENST00000479257 - CALU,,,,ENST00000545927 - OLR1,ENST00000521597 - TNFRSF11B,,,
,,,,ENST00000613132 - IGFBP3,,,,ENST00000558745 - TSPAN3,ENST00000265016 - BST1,,,
,,,,ENST00000474267 - WNT5A,,,,ENST00000476482 - P4HB,ENST00000542058 - GNS,,,
,,,,ENST00000469554 - CCDC80,,,,ENST00000602131 - PLD3,ENST00000394156 - CDH11,,,
,,,,ENST00000428575 - XRCC6,,,,ENST00000409854 - EPHA4,ENST00000519011 - FZD6,,,
,,,,ENST00000529492 - TMEM123,,,,ENST00000584265 - MRC2,ENST00000425719 - NTM,,,
,,,,ENST00000461583 - HLA-B,,,,ENST00000437607 - PTPRF,ENST00000579475 - NOTCH2,,,
,,,,ENST00000505593 - LOX,,,,ENST00000524970 - THY1,ENST00000519510 - PLAT,,,
,,,,ENST00000297350 - TNFRSF11B,,,,ENST00000395986 - BDNF,ENST00000525463 - HSPA8,,,
,,,,ENST00000577468 - PTPRM,,,,ENST00000472007 - FKBP9,ENST00000326958 - NPR3,,,
,,,,ENST00000486533 - COL12A1,,,,ENST00000496703 - ITGB5,ENST00000461431 - CCDC80,,,
,,,,ENST00000358170 - CD46,,,,ENST00000493811 - POFUT2,ENST00000486979 - ALCAM,,,
,,,,ENST00000528294 - ECE1,,,,ENST00000377499 - LMO7,ENST00000419716 - SULF1,,,
,,,,ENST00000244295 - PSG4,,,,ENST00000535040 - TPBG,ENST00000532873 - DKK3,,,
,,,,ENST00000481985 - RPL3,,,,ENST00000634817 - TPBG,ENST00000496081 - HLA-A,,,
,,,,ENST00000618395 - COL5A1,,,,ENST00000395983 - BDNF,ENST00000301455 - ANGPTL4,,,
,,,,ENST00000279452 - CD44,,,,ENST00000265016 - BST1,ENST00000503773 - IL6ST,,,
,,,,ENST00000406391 - SLC8A1,,,,ENST00000593513 - AXL,ENST00000380036 - TEK,,,
,,,,ENST00000494614 - DCBLD2,,,,ENST00000508588 - PKD2,ENST00000474729 - MPZL1,,,
,,,,ENST00000469350 - PLOD2,,,,ENST00000433762 - COL6A3,ENST00000510722 - ITGA2,,,
,,,,ENST00000494446 - FN1,,,,ENST00000474729 - MPZL1,ENST00000261266 - PTPRB,,,
,,,,ENST00000471632 - TMEM87B,,,,ENST00000463535 - CERCAM,ENST00000264463 - CDH10,,,
,,,,ENST00000558132 - ANXA2,,,,ENST00000376180 - ITGBL1,ENST00000539518 - OLR1,,,
,,,,ENST00000434472 - CD44,,,,ENST00000524261 - PLAT,ENST00000436949 - SEMA3A,,,
,,,,ENST00000513960 - VCAN,,,,ENST00000257527 - ADAM19,,,,
,,,,ENST00000480283 - ATRX,,,,ENST00000231004 - LOX,,,,
,,,,ENST00000559494 - TSPAN3,,,,ENST00000616868 - SULF1,,,,
,,,,ENST00000519742 - CLU,,,,ENST00000550253 - TGFBR1,,,,
,,,,ENST00000486979 - ALCAM,,,,ENST00000418354 - FKBP9,,,,
,,,,ENST00000475181 - CCDC80,,,,ENST00000461431 - CCDC80,,,,
,,,,ENST00000532873 - DKK3,,,,ENST00000513960 - VCAN,,,,
,,,,ENST00000562090 - GLG1,,,,ENST00000356660 - BDNF,,,,
,,,,ENST00000334047 - F3,,,,ENST00000425719 - NTM,,,,
,,,,ENST00000470019 - PTK7,,,,ENST00000367921 - DDR2,,,,
,,,,ENST00000474644 - COL1A1,,,,ENST00000635944 - ASAH1,,,,
,,,,ENST00000524970 - THY1,,,,ENST00000394156 - CDH11,,,,
,,,,ENST00000422669 - LTBP1,,,,ENST00000379917 - ADAM9,,,,
,,,,ENST00000584049 - BDNF,,,,ENST00000440126 - APP,,,,
,,,,ENST00000295550 - COL6A3,,,,ENST00000520052 - ANGPT1,,,,
,,,,ENST00000542447 - CADM1,,,,ENST00000475220 - FKBP9,,,,
,,,,ENST00000480823 - FSTL1,,,,ENST00000377017 - TIMP1,,,,
,,,,ENST00000464916 - COL1A2,,,,ENST00000380036 - TEK,,,,
,,,,ENST00000381086 - IGFBP3,,,,ENST00000506649 - CD164,,,,
,,,,ENST00000435414 - TFPI,,,,ENST00000433590 - MFAP5,,,,
,,,,ENST00000495700 - PLOD2,,,,ENST00000523739 - FZD6,,,,
,,,,ENST00000300177 - GREM1,,,,ENST00000502363 - PKD2,,,,
,,,,ENST00000409532 - ITGA6,,,,ENST00000393808 - ST3GAL5,,,,
,,,,ENST00000315757 - ITGA11,,,,ENST00000315757 - ITGA11,,,,
,,,,ENST00000356660 - BDNF,,,,ENST00000517951 - ADAM19,,,,
,,,,ENST00000282903 - PLOD2,,,,ENST00000542878 - MFGE8,,,,
,,,,ENST00000416123 - COL12A1,,,,ENST00000564631 - TMX3,,,,
,,,,ENST00000353578 - COL6A3,,,,ENST00000488683 - CLIC4,,,,
,,,,ENST00000356005 - FN1,,,,ENST00000437302 - ITGB1,,,,
,,,,ENST00000427239 - COL11A1,,,,ENST00000514738 - CDH6,,,,
,,,,ENST00000297268 - COL1A2,,,,ENST00000457381 - NTM,,,,
,,,,ENST00000322805 - GREM1,,,,ENST00000497289 - RPN1,,,,
,,,,,,,,ENST00000542058 - GNS,,,,
,,,,,,,,ENST00000457660 - SLC3A2,,,,
,,,,,,,,ENST00000474644 - COL1A1,,,,
,,,,,,,,ENST00000444954 - CRELD2,,,,
,,,,,,,,ENST00000471344 - COL1A1,,,,
,,,,,,,,ENST00000301455 - ANGPTL4,,,,
,,,,,,,,ENST00000518161 - TMEM30A,,,,
,,,,,,,,ENST00000188790 - FAP,,,,
,,,,,,,,ENST00000261266 - PTPRB,,,,
,,,,,,,,ENST00000482116 - LMO7,,,,
,,,,,,,,ENST00000553373 - FERMT2,,,,
,,,,,,,,ENST00000407925 - LTBP1,,,,
,,,,,,,,ENST00000567109 - CDH13,,,,
,,,,,,,,ENST00000351898 - SLC4A4,,,,
,,,,,,,,ENST00000537320 - TNC,,,,
,,,,,,,,ENST00000379904 - ERAP2,,,,
,,,,,,,,ENST00000409938 - EPHA4,,,,
,,,,,,,,ENST00000295550 - COL6A3,,,,
,,,,,,,,ENST00000306349 - BMP1,,,,
,,,,,,,,ENST00000519510 - PLAT,,,,
,,,,,,,,ENST00000537508 - SLC3A2,,,,
,,,,,,,,ENST00000503856 - PDGFRA,,,,
,,,,,,,,ENST00000463335 - ANTXR1,,,,
,,,,,,,,ENST00000480823 - FSTL1,,,,
,,,,,,,,ENST00000374786 - NTM,,,,
,,,,,,,,ENST00000480737 - FN1,,,,
,,,,,,,,ENST00000466755 - THBS1,,,,
,,,,,,,,ENST00000490286 - DPP4,,,,
,,,,,,,,ENST00000491959 - ZPLD1,,,,
,,,,,,,,ENST00000359478 - MFAP5,,,,
,,,,,,,,ENST00000423829 - ICAM1,,,,
,,,,,,,,ENST00000561100 - GPR176,,,,
,,,,,,,,ENST00000400325 - MICA,,,,
,,,,,,,,ENST00000426059 - FN1,,,,
,,,,,,,,ENST00000356253 - CACNA2D1,,,,
,,,,,,,,ENST00000292357 - PEAR1,,,,
,,,,,,,,ENST00000525201 - TSPAN4,,,,
,,,,,,,,ENST00000531512 - SULF1,,,,
,,,,,,,,ENST00000519011 - FZD6,,,,
,,,,,,,,ENST00000529016 - PICALM,,,,
,,,,,,,,ENST00000611535 - OSCAR,,,,
,,,,,,,,ENST00000518867 - MGAT4B,,,,
,,,,,,,,ENST00000481273 - PTK7,,,,
,,,,,,,,ENST00000525463 - HSPA8,,,,
,,,,,,,,ENST00000463027 - MYH9,,,,
,,,,,,,,ENST00000405269 - SLC8A1,,,,
,,,,,,,,ENST00000616271 - CADM1,,,,
,,,,,,,,ENST00000357339 - FAS,,,,
,,,,,,,,ENST00000525061 - SULF1,,,,
,,,,,,,,ENST00000419716 - SULF1,,,,
,,,,,,,,ENST00000527651 - STIM1,,,,
,,,,,,,,ENST00000494535 - SCARF2,,,,
,,,,,,,,ENST00000375615 - LAYN,,,,
,,,,,,,,ENST00000502949 - SEL1L3,,,,
,,,,,,,,ENST00000426982 - KIAA0319L,,,,
,,,,,,,,ENST00000555616 - ACTN1,,,,
,,,,,,,,ENST00000289952 - SLC39A14,,,,
,,,,,,,,ENST00000418533 - LTBP1,,,,
,,,,,,,,ENST00000474033 - MXRA8,,,,
,,,,,,,,ENST00000360568 - P4HA2,,,,
,,,,,,,,ENST00000358170 - CD46,,,,
,,,,,,,,ENST00000317840 - COL3A1,,,,
,,,,,,,,ENST00000264441 - PCYOX1,,,,
,,,,,,,,ENST00000264463 - CDH10,,,,
,,,,,,,,ENST00000549940 - GNPTAB,,,,
,,,,,,,,ENST00000481849 - HLA-B,,,,
,,,,,,,,ENST00000503010 - TMED7,,,,
,,,,,,,,ENST00000166534 - P4HA2,,,,
,,,,,,,,ENST00000518980 - MGAT4B,,,,
,,,,,,,,ENST00000539548 - CDH13,,,,
,,,,,,,,ENST00000537992 - ITGB8,,,,
,,,,,,,,ENST00000635998 - ASAH1,,,,
,,,,,,,,ENST00000358477 - TRPC4,,,,
,,,,,,,,ENST00000486979 - ALCAM,,,,
,,,,,,,,ENST00000509647 - FAT1,,,,
