Idiopathic Pulmonary Fibrosis,Heart Failure
ALDH18A1,TNFRSF12A
PTGFRN,MFAP5
TMEM59L,ALKAL2
IGFL1,NPPA
IGFL2,IFT43
COL17A1,FGF1
CXCL14,UBAC2
CRLF1,ARVCF
TNFRSF21,SYNPO2L
SERPINF1,NPPB
KRT16,PLCE1
FHL2,WDR54
SPON1,IGFBP3
COL5A2,NOL3
COL3A1,CREB5
C1S,GAB3
BACE2,FSTL3
COMP,GABPB2
THBS2,CYP2J2
IL13RA2,LTBP2
STEAP1,RPS6KL1
COL15A1,MYL12A
COL1A1,SEZ6L
BMAL2,INTU
COL14A1,GPA33
CAPN5,RUNDC3A
CFH,MMP24
ALDH1A3,COPS7B
EPHB2,FOXS1
RARRES1,ACSM3
NGFR,DAPK3
LGI2,THBS4
FBLIM1,ADAMTSL5
COL6A3,DLK2
LYPD1,MAFK
FRMD5,TMEM253
CTHRC1,ANKRD1
NCS1,ZNF546
NPAS2,ARMS2
IGF1,LEFTY2
BAAT,TNNT3
MMP7,CLEC11A
PYCR1,DOK7
TSHZ2,APLP1
VCAN,ANKRD24
SPRR1A,EGLN3
MYO3B,PAFAH2
GJB2,SLC16A9
LTBP1,ELN
COL5A1,FAM181B
PLXNA4,POMC
MMP2,CENPA
HS6ST2,ST8SIA2
SPRR1B,PTGDR2
MMP10,AEBP1
DIO2,ZNF775
FBN1,IGFBP2
GGT5,ACTBL2
COL1A2,EME1
ADAMTS14,SEZ6L2
ISM1,SERPINE2
COL10A1,STKLD1
THY1,HRK
ABCA12,SLC16A6
HMGB3,PDE4C
SERPINB4,HSPB1
PDLIM4,C16orf89
CRABP1,SMOC2
PSAT1,ADAM20
XPNPEP2,ACE2
MOXD1,SARDH
CLDN10,DBF4B
KRT14,BMAL1
CPNE4,CPT1C
GAP43,COLQ
KRT17,DOC2A
TUBB3,C5orf46
IGFBP5,C1QTNF9
FBLN2,THY1
KIF26B,LGALS4
ATP10B,TPM3
GCNT3,HSPA2
SERPINA5,DEFB124
PCDH7,LCN12
PCP4,
SPTBN2,
MMP3,
SULF1,
KLK6,
STRA6,
MMP13,
CILP,
SH3PXD2B,
SCRG1,
TMEM215,
POSTN,
P4HA3,
SSC5D,
TMEM45A,
CRABP2,
ZNF385D,
BHLHE22,
DNAJC22,
TIMP4,
BOC,
ASPN,
LY6D,
SCG5,
TDO2,
CLMP,
SERPINA3,
PLA2G2A,
CTSE,
GLB1L3,
CHI3L1,
ADAM23,
SFRP2,
TNS4,
TWIST1,
CACNA1G,
MCHR1,
TMEM229A,
CILP2,
MMP11,
CYP1B1,
SERPINE2,
TMEM200C,
FDCSP,
PTPRZ1,
GPR87,
CCL13,
C1QL2,
ACTG2,
FLNC,
LCN2,
F2RL2,
PLA2G7,
NETO1,
LEP,
ACAN,
NPTX2,
MC4R,
PROM2,
SERPINB13,
DOK5,
SAA2-SAA4,
HTR3A,
KRT6A,
PCSK1,
CPXM1,
ADM2,
FUT2,
AKR1B10,
DPEP1,
KCNS2,
HTR2A,
KRT15,
GREM1,
CHRDL2,
FNDC1,
CXCL13,
OGDHL,
CST1,
GJB6,
CP,
FCRL5,
FAM83B,
FAM83A,
PI15,
MUC5B,
DERL3,
MLIP,
CYP24A1,
MMP1,
MYEOV,
BHLHA15,
CDH2,
TCN1,
MMP9,
ADAMTS16,
CCN4,
ADAM12,
TNFRSF13C,
RPE65,
B3GNT3,
LGALS7B,
POU2AF1,
S100A2,
CYP19A1,
FAT2,
IGLL5,
BPIFB2,
PAPPA,
TFAP2A,
SERPINB5,
KRT75,
DEFB4A,
EPYC,
BNIP5,
CHST6,
SPRR2D,
CST2,
MEDAG,
MZB1,
MUC4,
FAM83F,
CD177,
TMPRSS4,
KRT6B,
CCL7,
CXCL6,
ADAMTS18,
ZPLD1,
CLCA2,
SLC5A5,
BPIFB1,
DMRT3,
IVL,
GABBR2,
UGT1A6,
CR2,
SLCO1B3,
PADI1,
PNLIPRP3,
PITX1,
KRT5,
MMP8,
SERPINB7,
ATP12A,
SERPINB3,
MSMB,
BPIFA1,