GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
FN1,EMILIN1,SEMA5A,ATG9A,MAB21L1,FKBP1C,ATG10,PPAN-P2RY11,ACTG2,SVEP1,IRAG1,TRHDE,FBN1
CANX,RAI14,LAMC1,MMP2,KIRREL1,MGAT5,CLTC,ATG9A,P3H1,PPP1R3C,TMEM178B,ADGRA2,P3H2
FKBP10,COL3A1,LAMA2,ECM1,CERCAM,SGIP1,COL3A1,RAB43,NLRP10,SRXN1,LRP3,LRRC15,CLIP3
ZNF229,HSD17B2,SH2D5,ARHGAP22,SERPINE1,PCDHGA5,TGFBI,GET4,BMP1,TMEM200A,TBX2,HOXA13,PLAT
COL4A5,CLIP3,PTGES3L-AARSD1,PTK7,CORIN,DNAH5,TVP23C-CDRT4,NDST1,WNT5A,SMURF2,CCDC68,ODAD2,MYLK
FSTL1,PCDHGC3,ANPEP,GPSM1,PTCHD4,WNT16,TMEM30A,PKP3,ARNT2,TENM3,TWSG1,INHBE,SGIP1
LRRN3,SERPINE1,DDAH1,PCDH18,ANGPTL2,SLC7A11,ZBED6,FOLR3,ALDH1L2,CDC42EP2,ABCC4,SPEG,ABCC4
ADAM9,FN1,GPC1,CLTC,SLC38A11,IL12A,PDE1C,PGF,CERCAM,RAI14,IGF2BP3,TRAM2,GPSM1
ACTG2,SEMA5A,FBLN2,LIF,RAB23,FAM166A,SEMA3A,PFKFB4,FLNB,GPX8,TNFRSF10D,PPFIA4,MEST
BCAT1,CTHRC1,CALU,CALU,FMOD,MYPN,ANKUB1,ODAPH,PSAT1,LRP11,EXT1,PAMR1,LRP11
ADAM19,NEO1,BDNF,THSD4,SEPTIN11,ARPIN-AP3S2,CYP51A1,MRM2,IGF2BP3,CALU,PTGES3L-AARSD1,PTGES3L-AARSD1,ALDH1L2
CDH11,TGFBI,LOXL1,SHC1,C1orf198,EPG5,LRRN3,CSF2,TGFB2,SEMA5A,CORO7-PAM16,NID2,LAMB1
FAT4,AK5,PLXNA1,FN1,ARNT2,MASP1,IGF2BP1,ZPLD1,ARHGEF18,CDCP1,ATG9A,CLIP3,ACTG2
MTCL1,WNT5B,DRAM1,GPC1,MEGF6,PCDHGB6,ANKRD30BL,COL22A1,CDC42EP2,CLTC,GPX8,ACAN,FZD7
INHBA,SEMA3A,PDCD1LG2,SEMA5A,CCDC9B,PLAT,ST6GALNAC6,CALML3,CALU,FAT4,GPC4,GALNT5,VAT1L
MYLK,SEPTIN11,PLOD1,SGIP1,COLEC12,NCKAP5,CHTF8,LIPG,CMKLR2,THSD4,BDKRB2,CRABP2,P3H3
FZD7,CREB3L1,FN1,ST6GALNAC6,JAM2,CNNM2,ANKHD1-EIF4EBP3,ELL3,C5orf46,HEG1,ANGPTL2,PLOD1,MXRA8
ALDH1L2,SEC61A1,MYLK,JCAD,HOXA11,LOXL2,SFRP1,DPYSL4,AMIGO2,SLC1A1,PTK7,GPC1,ARNT2
MYPN,ADAM9,MTCL1,TBX2,RXFP1,GYG2,NAV3,KRT76,LRP11,KIAA1549L,SERPINE1,PCDHGB4,COLEC10
SEPTIN11,WNT5A,ODAD2,RGS4,STS,NGRN,FZD7,ENTPD3,FAM220A,DDR2,TEK,SGCD,MMP14
ITGA3,LAMB1,ALDH1L2,CREB3L1,CDH2,ARPC4-TTLL3,UTS2B,OVCA2,PTP4A1,AFAP1,CLTC,WNT5B,TBX2
KIRREL1,UCHL1,PAPPA,AK5,ADAMTSL5,THY1,RAB43,SNAI2,MFAP5,MRGPRX3,WNT5B,NFATC4,PSAT1
PTPRS,NT5E,CSPG4,UCHL1,ST6GALNAC6,MMP3,DSEL,MMP14,CLTCL1,PNMA2,NLGN2,RECK,TBX5
SLC1A1,ANGPTL2,IGFBP3,SPEG,ADGRA2,FAM47E-STBD1,PAPPA,FERMT1,WDR1,LIF,MYLK,NFASC,CDH13
CDH6,IGF2BP3,LOXL3,EMILIN1,IGFBP3,CYB5D1,FAT4,ANGPTL4,INHBE,FBN2,TBX5,BICC1,CDH11
THSD4,GFRA1,ANTXR1,CDH13,FBLN2,GPR176,EIF4A1,IRF6,HMGA2,ULBP1,SERPINE2,GRIA3,TMEM158
CEMIP,NCKAP5,ADAMTS2,REEP2,FSTL1,FBN2,ARHGEF18,TFPI2,QSOX1,EPHB2,AGRN,FN1,SEMA3A
PLAT,GPX8,ATP2B4,SCN9A,CLIP3,ADAMTS12,RAI14,TRIM29,SEMA7A,CLDN11,COL4A5,SERPINE2,SEC61A1
TMEM200A,FRMD6,PODN,CCDC80,MGARP,ISY1-RAB43,MTCL1,SEMA3F,REEP2,NRXN3,CPED1,ADAMTS2,EXT1
SVEP1,E2F7,ATG9A,ITGB1,SH2D5,SH2D5,SEC61A1,PLAU,GPX8,MEST,PCDH18,GPX8,NT5E
NRK,PAPPA,PDE1C,CAPN2,COL4A5,GPR39,FSTL1,MMP10,TEK,CCBE1,SEMA3A,MXRA8,IGF2BP3
LAMC1,CSPG4,SEPTIN11,SLC14A1,PTPRS,CLVS1,CALU,CELSR1,CCDC81,BDKRB1,DDAH1,CYP26B1,LUM
CCND1,ACTG2,ARNT2,TMEM178B,SLC16A2,MXRA5,SLC39A1,SPOCK1,COL7A1,LAMC1,RIPOR3,SCN9A,ARSJ
TNFRSF10D,MAGED1,GPX8,ABCC4,ADAMTS5,FAM209A,LRP3,SEPTIN5,TRAM2,ALDH1L2,ITGBL1,DDAH1,NES
ANTXR1,BDKRB2,TRHDE,IRAG1,TBX5,PCDHGC3,ABCC4,TSPAN1,HEG1,MMP14,AJUBA,AKAP6,THSD4
NALF1,ECM1,CLSTN2,PDCD1LG2,NLGN2,GDF6,PXDN,FJX1,RGMB,P3H3,ASPH,SEPTIN11,ARHGEF17
ASPH,NTM,VGLL3,CCND1,FRMD6,TM9SF1,LTBP1,FKBP10,SPOCK1,AHNAK2,FSTL1,RSPO1,SEMA5A
NEDD4,SGIP1,TNFSF18,EFEMP2,NDST1,SCN9A,KCP,LAMB3,VLDLR,ADAM12,SHANK1,ATP2B4,MOXD1
DNAH5,CAPN2,TRAM2,PLSCR3,WNT5B,RSPH10B,SCN8A,PTGFRN,PDE1C,PTPRS,PLSCR3,CALU,SERPINE2
SEMA6D,CANX,C1orf198,ARHGEF17,FZD7,INA,MATR3,PTGES,SIM2,P4HA2,LIF,MYLK,PCDHGC3
FGF1,ATG9A,MXRA8,MTCL1,KIAA1549L,SERINC4,WFDC1,SLC38A5,POSTN,SEMA3A,ECM1,SLC38A11,CCDC80
COL8A1,TBX2,NFASC,PLOD1,HOXA13,ARMCX6,NT5E,ITGA3,NDST1,SPOCK1,PTPRS,ARHGEF17,PLOD1
BMPER,TNFSF18,PAPSS2,ADAM9,LAYN,PPP1R42,GDF9,S100A3,LAMC1,TXNRD1,C1orf198,ANTXR1,SLC38A2
ANGPT1,TBX5,ARHGEF17,FRMD6,USP53,SCUBE3,RGMB,CCDC8,AGRN,MYO10,SPEG,LAMC1,TXNRD1
QSOX1,CLIP2,SSTR1,DDAH1,GPC1,MAGED4B,NALF1,F2RL1,CHST3,PTGIS,ARNT2,PTPRS,FMN2
CADM1,SGCD,SFRP1,NAV3,MXRA8,MMP2,FMN2,RIPK4,NUAK1,LMO7,MCFD2,CPA4,SEPTIN11
NES,NLGN2,LAYN,CCBE1,LRRN4CL,MAGED4,CFAP298-TCP10L,AHNAK2,DPYSL4,COL8A1,ADAM33,COL8A2,NTM
CDK6,PDCD1LG2,SPEG,SDC3,ATG9A,LYPD1,TXNRD1,PRSS8,LUM,RGMB,SLC1A1,ECM1,PDGFRB
CPED1,STEAP3,F2RL2,PTPRS,FBLN5,TMEM178B,SOX11,LAD1,CLDN11,NT5E,CSPG4,LAMA2,PTPRS
PRSS12,GPC1,NFATC4,SALL1,EPDR1,RGMB,JCAD,PKP1,PDGFRA,COL12A1,CREB3L1,CPXM2,ITGB1
KDELR3,TRO,SERPINB2,NT5E,CCDC80,TEK,PSG5,ATP6V0C,NT5E,SPOCD1,NES,TGFB2,NDST1
SEMA5A,WFDC1,NAV3,STEAP3,TMEM47,FBXL2,CHURC1-FNTB,PPP1R14C,GFRA1,TEK,MAGED1,CREB3L1,SDC3
ITGA2,ARSJ,THSD4,SEPTIN11,DMPK,SEPTIN11,ITGB1,CYP2S1,NPTX1,DKK1,ADGRB2,P3H3,ITGA3
MASP1,ARHGEF28,CLIP3,NID2,INSYN1,ROBO1,PCDHGB4,TUBB2B,GALNT5,FLNB,GYG2,PTGS1,CLDN11
VEPH1,PLOD1,FRAS1,ARHGEF28,TRPC6,FOXF1,CCDC9B,CYP1A1,DKK1,VGLL3,PRNP,SPOCD1,ADGRA2
UACA,FMN2,SPATA18,LOXL1,ODAD2,PCDHGA10,EGLN2,KRT15,FZD7,NTM,EFEMP2,RDH10,EFEMP2
CNN1,DENND2A,CDH13,ARSJ,LAMC1,ARSJ,CEMIP,FSTL3,PPFIA4,REEP2,SEMA5A,PDCD1LG2,ECM1
TENM3,CPED1,IRAG1,EPHB2,IGF2BP1,ANTXR1,DNAH5,TSKU,P4HA2,ITGB1,SLC38A2,FBLN2,TMEM200A
SLC2A10,P4HB,FZD7,TWSG1,PDGFRA,NSG1,ANLN,CYGB,VGLL3,TENM2,P3H3,ROBO1,COL6A2
FOXF1,COL6A1,HOXA13,MXRA8,TMTC1,DDAH1,FN1,SDC1,NREP,DPYSL4,PLEC,SLIT2,CCND1
LAMB1,CCND1,BICC1,NDST1,TWIST2,CALU,EVC,MISP,CSPG4,COL4A1,IGDCC4,NREP,LOXL1
CACNA2D1,NAV3,COL6A1,CSPG4,FN1,ARL17A,P3H3,C19orf33,P3H3,JCAD,GAS6,COL8A1,TNFSF4
GFRA1,TEK,ANLN,GPX8,PDE1C,ENO3,STIMATE-MUSTN1,CA12,CALHM5,TUBB3,COL16A1,HOXA11,PDE1C
STC1,ADAMTS8,ADGRD1,TMEM158,FKBP9,CTHRC1,SH3D21,TINAGL1,SLC7A11,CERCAM,MXRA8,CERKL,CERCAM
CDCP1,EPHB2,CTSK,CPED1,CPXM2,FMC1-LUC7L2,MXRA8,TACSTD2,NID2,SEMA3C,WFS1,AXL,CREB3L1
ITGB1,NSG1,NES,ADGRA2,CALU,FAM220A,COL5A1,IL1B,COL4A1,ANTXR1,BDKRB1,GAS1,PIEZO2
BICC1,TNFRSF19,TMEM119,NTM,TGFBI,KDELR3,TWSG1,DSG2,PVR,LAMA4,ARSJ,NES,LAMC1
SERPINE2,MEST,CLMP,INSC,GPX8,TRO,FST,GJA1,ENC1,ITGB3,LOXL1,COL6A1,F2R
COL4A1,MMP14,USP53,SLC6A15,SGCD,EVC,EMILIN1,CD24,HDLBP,NEDD4,SCRN1,EFEMP2,MASP1
CCDC80,IRAG1,RAI14,PEA15,PLOD1,PTGS1,TNFRSF10D,KRT19,EPHB2,NRG1,RHBDF1,DIO2,PVR
PCDH18,LPAR3,SFRP4,RHBDF1,NLGN4Y,HSD17B2,GPX8,,PTGS1,COL4A2,NIBAN2,PODN,AXL
SRPX2,HDLBP,EFEMP2,DENND2A,F2RL2,SHISAL1,PLAU,,RAI14,TGFB2,EMILIN1,CDH13,IRS1
ITGBL1,IGF2R,EMILIN1,LOX,CREB3L1,NRG1,PCSK7,,ADGRA2,PVR,PLAU,LAYN,HEG1
ABLIM3,NALF1,LAMA4,GFRA1,SEMA3A,TXNRD1,B3GNT4,,COL4A5,PTK7,LOX,EMILIN1,ITGA2
CCND2,LAMC1,FKBP9,SEMA3A,GLRB,PLAU,VGLL3,,LIF,HDLBP,SPOCD1,CRIM1,RHBDF1
VCL,COL15A1,NREP,SCRN1,DRAM1,ADAMTS8,ZNF320,,ADAMTS15,APLP1,NEO1,FBLN5,DCN
SGIP1,DDAH1,DPP4,WFDC1,SSTR1,TXNDC5,NPTX1,,BMPER,ADAM9,GPR37,RAI14,COL8A1
PLCB4,CERCAM,MYOF,STC1,COL6A1,ITGA11,MYLK,,CA12,POSTN,NCKAP5,PDGFRB,VGLL3
THBS2,TMTC1,ECM1,NALF1,SPOCK1,CAPN2,FBXL13,,COL4A2,CHST3,TMEM158,SDC3,CDH2
LUM,SDC3,TWIST2,ATP2B4,HEG1,FOXL1,SRRM5,,NAV3,QSOX1,ABLIM3,CNN1,GAS6
CRIM1,MYOF,CCND1,CADM1,MYLK,ABCC4,ACTG2,,FGF1,PCDH10,HSPB6,PCDH18,IGFBP5
TMEM47,MXRA8,GFRA1,PLCB4,COL8A2,VEPH1,FOXF1,,DDR2,SRPX2,ITGB1,FKBP9,CCN2
FIBIN,JCAD,AXL,TGFB2,EFEMP1,CEACAM19,ATG9A,,INHBA,ENC1,TRIO,AMOTL2,GFRA1
CSPG4,ADAMTS7,PCDH18,NIBAN2,C1S,PVR,SGIP1,,BCAT1,DDAH1,TGFBI,RCAN1,DDAH1
LMO7,ADGRA2,CREB3L1,MMP14,MFAP4,BDKRB1,AGRN,,INHBB,GFRA1,MGAT5,BGN,ASPH
MYOF,BDKRB1,GJA1,CSDC2,HSPB7,CHURC1-FNTB,CPED1,,DDAH1,ABLIM3,DCN,EHD2,ADAM9
AXL,SYNPO2,IGF2,CCDC68,IRAG1,CTSK,COLEC10,,THSD4,BICC1,ARHGEF28,CCN2,VASN
PLAU,CPA4,ADGRA2,GAS6,S1PR3,SCRN1,SLC38A2,,EXT1,LPAR1,PPP1R3C,HSPG2,TMTC1
SPARC,FBN1,FBLN5,NCKAP5,MMP1,FN1,CCND1,,PDE5A,MFAP5,LMO7,TMEM47,ITGB5
IGFBP5,KDELR3,CCDC80,FSTL1,SPEG,CCND1,NRK,,BICC1,TRIO,SLC14A1,COL6A2,COL4A2
ITGB5,MXRA5,DIO2,MMP1,CCND1,PDCD1LG2,KIRREL1,,JCAD,AOX1,ARHGEF17,IGFBP5,LMO7
MAP1B,TMEM158,LMO7,COL6A2,BDKRB2,STIMATE-MUSTN1,SEPTIN11,,CDH6,CA12,WFDC1,AEBP1,SH3BP4
ALCAM,SLC16A6,CRIM1,ADAM33,SFRP1,PEA15,ANGPT1,,GPC1,ITGB5,THSD4,ANPEP,COL4A1
COL4A2,EML1,MMP14,COL6A1,FOXF2,TRIM6-TRIM34,CALHM5,,SEMA5A,ANGPT1,FRMD6,PAPSS2,CLDN1
OSMR,NID2,IGFBP5,CLDN1,QSOX1,AMIGO3,EPHB2,,SYNPO2,BCAT1,COL8A1,MYOF,MYOF
CLIC4,F2R,ASPH,FBN1,BICC1,FLNC,COL4A1,,AXL,CCND1,ADGRA2,GJA1,EHD2
GJA1,COL6A2,COL6A2,AXL,CYBRD1,CLMP,TBX2,,COL12A1,PTGS1,SDC3,SPARC,BCAT1
COL6A2,COL4A2,COL15A1,ABLIM3,DIO2,TMEM35B,QSOX1,,TENM3,SERPINB2,COL6A1,CAVIN1,EFEMP1
PRSS23,SCRN1,PDGFRB,LAMA5,EMILIN1,LOX,ADAM9,,CKAP4,IL1A,TMTC1,CLIC4,TMEM47
CAVIN1,PSAT1,ALDH1A1,PTGS1,COL15A1,SULT1A4,TGFB2,,ITGB5,ITGBL1,PTGS1,ALDH1A1,PLOD2
TPM2,CLMP,EHD2,LAMC1,TBX18,PAPPA,PDCD1LG2,,FBLN2,FST,CCN2,IGFBP4,C1S
CCN2,RHBDF1,LAMB1,FAT4,ITGBL1,GSTM1,PTK7,,COL8A1,VCAN,ITGA8,ADAMTS1,SPARC
THBS1,ARHGEF17,PRRX1,MYOF,ADAMTS12,LAMB1,LAMA1,,ANTXR1,SFRP1,ALCAM,COL4A2,LAMA4
CALD1,ATP9A,SPARC,ASPH,IL17RB,RASGRF2,CNN1,,ITGA5,AXL,FST,THBS1,BGN
,SCN9A,AEBP1,COL3A1,GAS1,PTCHD4,BCAT1,,TPBG,CRIM1,HEG1,TPM2,FLNA
,AXL,HSPG2,FST,ECM1,NDUFC2-KCTD14,MYL6B,,CRIM1,LUM,IGFBP5,CAV1,IGFBP4
,RASGRF2,CAVIN1,CNN1,PRELP,ANGPTL2,SPOCD1,,CNN1,CSPG4,FBN1,CALD1,RND3
,EFEMP2,RND3,TGFBI,MMP3,NIPAL3,COL16A1,,EFEMP2,CPED1,SERINC2,,TPM2
,ITGB5,IGFBP4,TMTC1,THSD4,COL5A2,IRS1,,SLC2A1,INHBA,FGF7,,THBS1
,ITGA2,GAS6,ITGA2,RAI14,SH3D19,DDR2,,SEMA3C,FBLN2,PITX1,,CALD1
,CCDC68,THBS1,CTSK,GJA1,KIRREL1,NES,,ADAM9,TFPI2,LAMB1,,
,SLC14A1,DCN,VCL,LAMA4,PIEZO2,NIBAN2,,FKBP9,CKAP4,CRIM1,,
,PTPRK,TPM2,MFGE8,PDGFRB,PPP1R3C,TRNP1,,PDGFRB,STC1,ITGB5,,
,CLDN1,CAV1,PTPRK,DCN,C1QTNF5,COL8A1,,CLDN1,CCND2,SRPX,,
,CD109,CALD1,PITX1,TNXB,CCBE1,EXT1,,LMO7,MYOF,MMP14,,
,STC1,,PODN,AEBP1,DDR2,DDAH1,,CCN2,UACA,STC1,,
,GAS6,,UACA,DPT,MACF1,ITGA2,,SHROOM3,IGFBP5,TCF21,,
,COL4A1,,EHD2,SDC3,BDKRB2,TMTC1,,EFEMP1,CCN2,COL3A1,,
,ASPH,,IGFBP5,ASPH,ACTG2,COL1A1,,IGFBP5,MYLK,EFEMP1,,
,CKAP4,,HEG1,VASN,DSEL,CTHRC1,,MMP2,CLIC4,PTPRK,,
,FSTL1,,LMOD1,COL6A2,GABBR2,FIBIN,,SLC7A5,MAP1B,CKAP4,,
,CCN2,,SERINC2,PXDN,IRAG1,MMP16,,CLIC4,THBS1,RND3,,
,EFEMP1,,ITGB5,LMO7,SHC4,ARHGEF28,,CCND1,PLS3,COL6A2,,
,PITX1,,SPON2,AMOTL2,FGF14,GPC1,,SPARC,SPARC,MYOF,,
,IGFBP5,,SYNPO2,GAS6,THSD4,CDH2,,FHL2,CAVIN1,WLS,,
,BCAT1,,CKAP4,STC1,MAGED1,ANTXR1,,GJA1,TAGLN,CCDC80,,
,SLC7A2,,CLIC4,RHOBTB3,NALF1,SVEP1,,COL6A2,TIMP3,PALLD,,
,C1S,,HSPB6,CCN2,PXDN,LAMB1,,CAVIN1,,MFGE8,,
,EHD2,,CRIM1,IGFBP5,CPED1,COL4A2,,THBS1,,IGFBP4,,
,DCN,,EFEMP1,PRRX1,FAT4,PITX1,,ACTA2,,LAMC1,,
,RND3,,CCN2,CRIM1,TCF21,ITGB3,,HTRA1,,TPM2,,
,SPARC,,TPM2,EHD2,ASPH,CDH11,,VCAN,,SPARC,,
,GJA1,,SPARC,SPARC,RGPD3,SGCD,,COL6A1,,TIMP2,,
,CLIC4,,TAGLN,ALDH1A1,LAMC1,TMEM47,,GAS6,,TM4SF1,,
,TIMP2,,DCN,IGFBP4,ARHGEF28,TRIM55,,TAGLN,,THBS1,,
,TPM2,,TIMP2,CAVIN1,TMTC1,TUBB2B,,TPM2,,CALD1,,
,THBS1,,FLNA,THBS1,AHNAK2,FGF7,,TIMP3,,,,
,TAGLN,,IGFBP4,RND3,ROBO2,TEK,,CALD1,,,,
,CALD1,,ACTN1,CAV1,EDIL3,ASPH,,,,,,
,,,CAVIN1,CALD1,DZIP1,BICC1,,,,,,
,,,THBS1,,WNT5A,SERPINE1,,,,,,
,,,CALD1,,EYA4,INHBA,,,,,,
,,,,,TNFRSF10D,LMO7,,,,,,
,,,,,TNFRSF19,SLC4A4,,,,,,
,,,,,MYOF,IRAG1,,,,,,
,,,,,ADAM9,MMP14,,,,,,
,,,,,GPX8,GFRA1,,,,,,
,,,,,ATP9A,ADAMTS5,,,,,,
,,,,,ITGA2,AXL,,,,,,
,,,,,WFDC1,ANKRD1,,,,,,
,,,,,FIBIN,VCL,,,,,,
,,,,,NEO1,GAS6,,,,,,
,,,,,LAMA4,ACTA2,,,,,,
,,,,,TMEM47,PLOD2,,,,,,
,,,,,SLC14A1,CRIM1,,,,,,
,,,,,LUM,PLCB4,,,,,,
,,,,,CLDN1,PLAT,,,,,,
,,,,,FRMD6,RND3,,,,,,
,,,,,SPRY4,UACA,,,,,,
,,,,,UACA,COL6A2,,,,,,
,,,,,FILIP1L,SPARC,,,,,,
,,,,,F2R,CCDC80,,,,,,
,,,,,MYLK,DCN,,,,,,
,,,,,SERPINE2,IGFBP5,,,,,,
,,,,,FBN1,TPM2,,,,,,
,,,,,PTPRK,CAVIN1,,,,,,
,,,,,COL6A3,CLIC4,,,,,,
,,,,,RND3,TAGLN,,,,,,
,,,,,COL1A2,THBS1,,,,,,
,,,,,DCN,DST,,,,,,
,,,,,PRSS23,CALD1,,,,,,
,,,,,GJA1,,,,,,,
,,,,,WLS,,,,,,,
,,,,,TPM2,,,,,,,
,,,,,MAP1B,,,,,,,
,,,,,FSTL1,,,,,,,
,,,,,DAB2,,,,,,,
,,,,,SPARC,,,,,,,
